,연도,나이,출장,선발,이닝,기회,자살,보살,실책,수비율,RF9,RNG,ARM,CS,BLK,E+,RAA,/133,POS ADJ,RAA withADJ,WAA w/oADJ,WAA withADJ
0,2014,24,112,104,931.1,537,179,342,16,0.97,5.04,-1.12,0.0,0.0,0.0,0.0,-1.12,-1.44,5.46,4.34,-0.098,0.381
1,2015,25,137,132,1152.2,685,219,451,15,0.978,5.23,21.26,0.81,0.0,0.0,0.86,22.93,23.81,6.37,29.3,2.134,2.727
2,2016,26,119,112,990.0,562,180,365,17,0.97,4.96,3.43,-0.45,0.0,0.0,0.23,3.22,3.89,5.78,9.0,0.284,0.793
3,2017,27,106,95,830.2,397,132,254,11,0.972,4.18,6.04,0.0,0.0,0.0,0.49,6.53,9.4,4.63,11.15,0.603,1.03
4,2018,28,143,142,1198.2,644,211,409,24,0.963,4.66,3.97,0.0,0.0,0.0,-0.95,3.02,3.02,6.87,9.9,0.271,0.888
5,2019,29,134,131,1101.0,628,214,402,12,0.981,5.04,11.75,0.0,0.0,0.0,1.08,12.84,13.95,5.47,18.3,1.33,1.896
6,2020,30,141,136,1142.0,604,184,405,15,0.975,4.64,12.31,0.0,0.0,0.0,0.43,12.73,13.35,6.24,18.98,1.198,1.786
7,2021,31,132,129,1060.2,546,174,359,13,0.976,4.52,11.74,0.0,0.0,0.0,1.47,13.22,14.92,5.43,18.65,1.327,1.872
8,2022,32,142,137,1167.0,584,210,359,15,0.974,4.39,4.97,0.0,0.0,0.0,1.63,6.6,6.77,5.87,12.47,0.674,1.275
9,2023,33,125,115,1010.2,465,176,275,14,0.97,4.02,1.5,0.0,0.0,0.0,0.74,2.24,2.65,5.11,7.35,0.228,0.748
