,Season,Name,GP,G,A,P,+/-,PIM,PPG,PPP,SHG,SHP,TOI/G,GWG,OTG,S,S%,FO%
0,2009-10,Karlsson,60,5,21,26,-5,24,1,10,0,0,20:06,0,0,112,4.5,0.0
1,2010-11,Karlsson,75,13,32,45,-30,50,4,21,0,1,23:30,4,0,182,7.1,0.0
2,2011-12,Karlsson,81,19,59,78,+16,42,3,28,0,0,25:19,5,0,261,7.3,0.0
3,2012-13,Karlsson,17,6,8,14,+8,8,2,4,1,1,27:09,2,0,79,7.6,0.0
4,2013-14,Karlsson,82,20,54,74,-15,36,5,31,0,0,27:04,1,0,257,7.8,0.0
5,2014-15,Karlsson,82,21,45,66,+7,42,6,30,0,0,27:15,3,1,292,7.2,0.0
6,2015-16,Karlsson,82,16,66,82,-2,50,1,26,0,0,28:58,3,2,248,6.5,0.0
7,2016-17,Karlsson,77,17,54,71,+10,28,4,27,0,2,26:50,5,1,218,7.8,0.0
8,2017-18,Karlsson,71,9,53,62,-25,36,3,18,0,1,26:44,2,2,196,4.6,0.0
9,2018-19,Karlsson,53,3,42,45,+6,22,2,20,0,0,24:29,1,0,169,1.8,0.0
10,2019-20,Karlsson,56,6,34,40,-15,16,1,13,1,1,24:31,0,0,120,5.0,0.0
11,2020-21,Karlsson,52,8,14,22,-18,18,3,8,0,1,23:35,1,0,110,7.3,0.0
12,2021-22,Karlsson,50,10,25,35,-14,14,0,10,0,0,23:28,2,1,117,8.5,0.0
13,2022-23,Karlsson,82,25,76,101,-26,36,5,27,0,0,25:36,4,2,209,12.0,0.0
14,2023-24,Karlsson,39,7,21,28,+11,22,2,9,0,0,24:22,2,0,90,7.8,0.0
