,Season,Name,GP,G,A,P,+/-,PIM,PPG,PPP,SHG,SHP,TOI/G,GWG,OTG,S,S%,FO%
0,2006-07,Malkin,78,33,52,85,+2,80,16,40,0,0,19:09,6,1,242,13.6,43.3
1,2007-08,Malkin,82,47,59,106,+16,78,17,40,0,0,21:19,5,0,272,17.3,39.3
2,2008-09,Malkin,82,35,78,113,+17,80,14,41,2,2,22:31,4,2,290,12.1,42.4
3,2009-10,Malkin,67,28,49,77,-6,100,13,28,2,3,20:50,7,2,268,10.5,40.0
4,2010-11,Malkin,43,15,22,37,-4,18,5,14,0,0,19:49,3,0,182,8.2,38.5
5,2011-12,Malkin,75,50,59,109,+18,70,12,34,0,0,21:01,9,1,339,14.8,47.5
6,2012-13,Malkin,31,9,24,33,+5,36,4,18,0,0,19:42,3,0,99,9.1,47.2
7,2013-14,Malkin,60,23,49,72,+10,62,7,30,0,0,20:03,3,0,191,12.0,48.8
8,2014-15,Malkin,69,28,42,70,-2,60,9,26,0,0,18:58,4,1,212,13.2,42.7
9,2015-16,Malkin,57,27,31,58,+1,65,11,27,0,0,19:22,6,2,162,16.7,42.0
10,2016-17,Malkin,62,33,39,72,+18,77,11,23,0,0,18:37,6,1,191,17.3,43.1
11,2017-18,Malkin,78,42,56,98,+16,87,14,38,0,0,18:59,7,2,239,17.6,43.7
12,2018-19,Malkin,68,21,51,72,-25,89,9,26,0,0,18:48,5,0,187,11.2,45.7
13,2019-20,Malkin,55,25,49,74,+7,58,7,24,0,0,19:31,5,0,171,14.6,50.3
14,2020-21,Malkin,33,8,20,28,-4,24,4,9,0,0,17:44,0,0,72,11.1,42.5
15,2021-22,Malkin,41,20,22,42,-10,24,9,20,0,0,18:19,5,1,129,15.5,43.6
16,2022-23,Malkin,82,27,56,83,-12,82,11,36,0,0,18:34,3,0,240,11.3,49.3
17,2023-24,Malkin,39,15,20,35,+0,36,3,12,0,0,18:56,2,0,109,13.8,51.1
