,Season,Name,GP,G,A,P,+/-,PIM,PPG,PPP,SHG,SHP,TOI/G,GWG,OTG,S,S%,FO%
0,2005-06,Crosby,81,39,63,102,-1,110,16,47,0,2,20:07,5,3,278,14.0,45.5
1,2006-07,Crosby,79,36,84,120,+10,60,13,61,0,0,20:45,4,0,250,14.4,49.8
2,2007-08,Crosby,53,24,48,72,+18,39,6,27,0,1,20:50,4,0,173,13.9,51.4
3,2008-09,Crosby,77,33,70,103,+3,76,7,40,0,1,21:56,3,1,238,13.9,51.3
4,2009-10,Crosby,81,51,58,109,+15,71,13,34,2,3,21:57,6,1,298,17.1,55.9
5,2010-11,Crosby,41,32,34,66,+20,31,10,19,1,1,21:55,3,0,161,19.9,55.7
6,2011-12,Crosby,22,8,29,37,+15,14,2,11,0,0,18:28,3,0,75,10.7,50.1
7,2012-13,Crosby,36,15,41,56,+26,16,3,17,0,0,21:06,1,0,124,12.1,54.3
8,2013-14,Crosby,80,36,68,104,+18,46,11,38,0,0,21:58,5,1,259,13.9,52.5
9,2014-15,Crosby,77,28,56,84,+5,47,10,31,0,0,19:58,3,1,237,11.8,49.9
10,2015-16,Crosby,80,36,49,85,+19,42,10,24,0,0,20:28,9,2,248,14.5,51.7
11,2016-17,Crosby,75,44,45,89,+17,24,14,25,0,0,19:52,5,1,255,17.3,48.2
12,2017-18,Crosby,82,29,60,89,+0,46,9,38,0,0,20:41,6,3,247,11.7,53.0
13,2018-19,Crosby,79,35,65,100,+18,36,12,29,0,2,20:59,3,1,220,15.9,55.4
14,2019-20,Crosby,41,16,31,47,-8,15,4,17,0,0,20:16,4,2,109,14.7,55.6
15,2020-21,Crosby,55,24,38,62,+8,26,5,22,1,1,20:23,5,2,159,15.1,53.6
16,2021-22,Crosby,69,31,53,84,+19,32,8,30,0,0,19:58,9,1,208,14.9,52.4
17,2022-23,Crosby,82,33,60,93,+8,52,9,27,0,0,20:08,9,1,255,12.9,53.0
18,2023-24,Crosby,39,22,19,41,+14,22,6,10,0,0,19:58,3,0,137,16.1,60.1
