,Season,Name,GP,G,A,P,+/-,PIM,PPG,PPP,SHG,SHP,TOI/G,GWG,OTG,S,S%,FO%
15,2019-20,Letang,61,15,29,44,0,38,6,15,0,0,25:43,2,0,177,8.5,0.0
10,2019-20,Karlsson,56,6,34,40,-15,16,1,13,1,1,24:31,0,0,120,5.0,0.0
25,2019-20,Pettersson,69,2,20,22,9,35,0,2,0,0,19:23,0,0,79,2.5,0.0
26,2020-21,Pettersson,47,2,7,9,8,22,0,0,0,0,16:29,0,0,46,4.3,0.0
11,2020-21,Karlsson,52,8,14,22,-18,18,3,8,0,1,23:35,1,0,110,7.3,0.0
16,2020-21,Letang,55,7,38,45,19,32,1,15,0,1,24:38,2,1,132,5.3,0.0
27,2021-22,Pettersson,72,2,17,19,8,38,0,0,0,0,15:39,0,0,83,2.4,0.0
12,2021-22,Karlsson,50,10,25,35,-14,14,0,10,0,0,23:28,2,1,117,8.5,0.0
17,2021-22,Letang,78,10,58,68,20,49,2,22,0,0,25:46,3,2,214,4.7,0.0
13,2022-23,Karlsson,82,25,76,101,-26,36,5,27,0,0,25:36,4,2,209,12.0,0.0
18,2022-23,Letang,64,12,29,41,-13,30,6,21,1,1,24:51,3,3,161,7.5,0.0
28,2022-23,Pettersson,68,1,23,24,4,58,0,0,0,0,20:35,0,0,96,1.0,0.0
14,2023-24,Karlsson,39,7,21,28,11,22,2,9,0,0,24:22,2,0,90,7.8,0.0
19,2023-24,Letang,39,3,23,26,9,40,0,2,0,0,24:35,0,0,80,3.8,0.0
29,2023-24,Pettersson,39,0,14,14,18,20,0,0,0,0,22:31,0,0,46,0.0,0.0
