,Season,Name,GP,G,A,P,+/-,PIM,PPG,PPP,SHG,SHP,TOI/G,GWG,OTG,S,S%,FO%
20,2019-20,Malkin,55,25,49,74,7,58,7,24,0,0,19:31,5,0,171,14.6,50.3
0,2019-20,Crosby,41,16,31,47,-8,15,4,17,0,0,20:16,4,2,109,14.7,55.6
5,2019-20,Guentzel,39,20,23,43,11,14,6,10,0,0,20:37,4,1,127,15.7,47.8
1,2020-21,Crosby,55,24,38,62,8,26,5,22,1,1,20:23,5,2,159,15.1,53.6
21,2020-21,Malkin,33,8,20,28,-4,24,4,9,0,0,17:44,0,0,72,11.1,42.5
6,2020-21,Guentzel,56,23,34,57,7,28,6,18,0,1,20:16,7,1,141,16.3,25.0
7,2021-22,Guentzel,76,40,44,84,13,44,7,22,0,0,20:05,7,1,264,15.2,52.0
2,2021-22,Crosby,69,31,53,84,19,32,8,30,0,0,19:58,9,1,208,14.9,52.4
22,2021-22,Malkin,41,20,22,42,-10,24,9,20,0,0,18:19,5,1,129,15.5,43.6
3,2022-23,Crosby,82,33,60,93,8,52,9,27,0,0,20:08,9,1,255,12.9,53.0
8,2022-23,Guentzel,78,36,37,73,2,46,11,23,0,0,20:06,6,1,244,14.8,50.0
23,2022-23,Malkin,82,27,56,83,-12,82,11,36,0,0,18:34,3,0,240,11.3,49.3
4,2023-24,Crosby,39,22,19,41,14,22,6,10,0,0,19:58,3,0,137,16.1,60.1
24,2023-24,Malkin,39,15,20,35,0,36,3,12,0,0,18:56,2,0,109,13.8,51.1
9,2023-24,Guentzel,39,18,26,44,9,12,3,10,0,0,20:47,2,0,140,12.9,20.0
